mode,scope,formation,n,avg_points,hit_count,hit_rate,manshu_hit_count,manshu_hit_rate,manshu_capture_rate,target_arare_hit_count,target_arare_hit_rate,target_arare_capture_rate,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,reference_return_rate_100yen_each,period
preview,chaos_top10_per_day,B,1000,18.0,147,0.147,27,0.027,0.12796208530805686,65,0.065,0.14672686230248308,7465.986394557823,4260,62300,0.6097222222222223,train_to_2026-05-04
preview,chaos_top10_per_day,C,1000,12.0,113,0.113,20,0.02,0.0947867298578199,48,0.048,0.10835214446952596,7073.185840707964,4050,62300,0.6660583333333333,train_to_2026-05-04
preview,chaos_top10_per_day,D,1000,9.0,119,0.119,15,0.015,0.07109004739336493,41,0.041,0.09255079006772009,5246.218487394958,3600,38410,0.6936666666666667,train_to_2026-05-04
preview,all,A,6186,24.0,1985,0.32088587132234075,234,0.037827352085354024,0.22674418604651161,502,0.08115098609763984,0.26504751847940866,5245.370277078086,2190,222920,0.701318838236879,valid_after_2026-05-04
preview,all,B,6186,18.0,1323,0.21387002909796315,175,0.028289686388619464,0.1695736434108527,350,0.05657937277723893,0.18479408658922913,5790.10582010582,2300,222920,0.6879611667923986,valid_after_2026-05-04
preview,all,C,6186,12.0,1059,0.17119301648884577,118,0.019075331393469123,0.11434108527131782,249,0.040252182347235696,0.13146779303062303,4975.2313503305,2100,222920,0.7097707188274599,valid_after_2026-05-04
preview,all,D,6186,9.0,886,0.14322664080181055,79,0.012770772712576785,0.07655038759689922,193,0.031199482702877465,0.10190073917634636,4619.2889390519185,2140.0,222920,0.7351169307037396,valid_after_2026-05-04
preview,skip_excluded,A,4301,24.0,1393,0.3238781678679377,153,0.03557312252964427,0.2164073550212164,353,0.08207393629388514,0.2694656488549618,4908.72936109117,2240,222920,0.6624292800124002,valid_after_2026-05-04
preview,skip_excluded,B,4301,18.0,925,0.21506626365961404,121,0.028132992327365727,0.17114568599717114,253,0.058823529411764705,0.19312977099236642,5551.286486486487,2390,222920,0.6632746906404196,valid_after_2026-05-04
preview,skip_excluded,C,4301,12.0,740,0.17205301092769124,82,0.019065333643338758,0.11598302687411598,180,0.04185073238781679,0.13740458015267176,4854.689189189189,2155.0,222920,0.69605324343176,valid_after_2026-05-04
preview,skip_excluded,D,4301,9.0,623,0.14485003487561032,50,0.011625203441060218,0.07072135785007072,136,0.03162055335968379,0.10381679389312977,4421.813804173355,2220,222920,0.7116665374977396,valid_after_2026-05-04
preview,chaos_top5_per_day,A,215,24.0,50,0.23255813953488372,8,0.037209302325581395,0.1702127659574468,20,0.09302325581395349,0.21052631578947367,6764.8,4065.0,45380,0.6555038759689923,valid_after_2026-05-04
preview,chaos_top5_per_day,B,215,18.0,27,0.12558139534883722,4,0.018604651162790697,0.0851063829787234,11,0.05116279069767442,0.11578947368421053,6318.518518518518,4130,38580,0.4408268733850129,valid_after_2026-05-04
preview,chaos_top5_per_day,C,215,12.0,21,0.09767441860465116,3,0.013953488372093023,0.06382978723404255,8,0.037209302325581395,0.08421052631578947,6574.761904761905,4000,38580,0.53515503875969,valid_after_2026-05-04
preview,chaos_top5_per_day,D,215,9.0,22,0.10232558139534884,4,0.018604651162790697,0.0851063829787234,9,0.04186046511627907,0.09473684210526316,6724.545454545455,3520.0,38580,0.764547803617571,valid_after_2026-05-04
preview,chaos_top10_per_day,A,430,24.0,99,0.2302325581395349,18,0.04186046511627907,0.1956521739130435,36,0.08372093023255814,0.20454545454545456,6622.525252525253,3200,45380,0.6353003875968992,valid_after_2026-05-04
preview,chaos_top10_per_day,B,430,18.0,62,0.14418604651162792,14,0.03255813953488372,0.15217391304347827,25,0.05813953488372093,0.14204545454545456,7205.322580645161,3815.0,38580,0.5771705426356589,valid_after_2026-05-04
preview,chaos_top10_per_day,C,430,12.0,44,0.10232558139534884,8,0.018604651162790697,0.08695652173913043,15,0.03488372093023256,0.08522727272727272,6073.863636363636,2850.0,38580,0.5179263565891473,valid_after_2026-05-04
preview,chaos_top10_per_day,D,430,9.0,41,0.09534883720930233,7,0.01627906976744186,0.07608695652173914,13,0.030232558139534883,0.07386363636363637,5948.048780487805,2890,38580,0.6301550387596899,valid_after_2026-05-04
